method	factor	bpp	mIoU
jpeg	0	0.2037	0.0078
jpeg	5	0.2131	0.0015
jpeg	10	0.2348	0.0075
jpeg	15	0.2526	0.0077
jpeg	20	0.2698	0.0180
jpeg	25	0.2858	0.0150
jpeg	30	0.3008	0.0214
jpeg	35	0.3149	0.0254
jpeg	40	0.3267	0.0265
jpeg	45	0.3402	0.0306
jpeg	50	0.3517	0.0323
jpeg	55	0.3643	0.0384
jpeg	60	0.3792	0.0467
jpeg	65	0.3982	0.0511
jpeg	70	0.4208	0.0545
jpeg	75	0.4480	0.0732
jpeg	80	0.4882	0.0768
jpeg	85	0.5442	0.0833
jpeg	90	0.6392	0.0969
jpeg	95	0.8348	0.1346
jpeg	100	1.2690	0.4015
png	0	14.9362	1.0000
png	1	0.3822	1.0000
png	2	0.3704	1.0000
png	3	0.3551	1.0000
png	4	0.2747	1.0000
png	5	0.2710	1.0000
png	6	0.2645	1.0000
png	7	0.2629	1.0000
png	8	0.2332	1.0000
png	9	0.2152	1.0000
webp	0	0.0594	0.0166
webp	5	0.0672	0.0216
webp	10	0.0743	0.0236
webp	15	0.0798	0.0255
webp	20	0.0851	0.0300
webp	25	0.0881	0.0480
webp	30	0.0926	0.0556
webp	35	0.0977	0.0590
webp	40	0.1033	0.0611
webp	45	0.1085	0.0640
webp	50	0.1130	0.0657
webp	55	0.1169	0.0676
webp	60	0.1212	0.0691
webp	65	0.1252	0.0709
webp	70	0.1296	0.0727
webp	75	0.1351	0.0750
webp	80	0.1541	0.0840
webp	85	0.1760	0.0956
webp	90	0.2114	0.1189
webp	95	0.2594	0.1649
bpg	0	0.5363	0.5377
bpg	3	0.5363	0.5377
bpg	6	0.4557	0.4343
bpg	9	0.3793	0.3809
bpg	12	0.3131	0.3243
bpg	15	0.2569	0.2703
bpg	18	0.2095	0.2177
bpg	21	0.1748	0.1731
bpg	24	0.1435	0.1394
bpg	27	0.1166	0.1109
bpg	30	0.0931	0.0909
bpg	33	0.0726	0.0726
bpg	36	0.0547	0.0601
bpg	39	0.0403	0.0477
bpg	42	0.0296	0.0341
bpg	45	0.0222	0.0256
bpg	48	0.0168	0.0182
bpg	51	0.0132	0.0130
flif	0	0.1531	0.1056
flif	10	0.1579	0.1235
flif	20	0.1620	0.1273
flif	30	0.1625	0.1365
flif	40	0.1603	0.1384
flif	50	0.1602	0.1657
flif	60	0.1578	0.1820
flif	70	0.1591	0.2594
flif	80	0.1649	0.3063
flif	90	0.1472	0.5483
flif	100	0.0884	1.0000
j2k	1	2.1126	1.0000
j2k	2	2.5201	0.3891
j2k	3	2.5201	0.3891
j2k	4	2.5196	0.3890
j2k	5	2.5169	0.3881
j2k	10	2.3931	0.3588
j2k	20	1.7760	0.2484
j2k	50	0.7800	0.1038
j2k	100	0.3911	0.0607
j2k	150	0.2605	0.0476
j2k	200	0.1952	0.0407
